iter	Logloss
0	0.6899062511
1	0.6857577625
2	0.6822392944
3	0.6786067408
4	0.6746737169
5	0.6709089701
6	0.6682256471
7	0.6639128731
8	0.6609073453
9	0.6600429136
10	0.6560711718
11	0.6525435722
12	0.6486382843
13	0.6460999767
14	0.6430108409
15	0.6398143551
16	0.6368489883
17	0.6298983233
18	0.6270438268
19	0.6279889094
20	0.6254008669
21	0.6226255627
22	0.6198732957223	0.617246829924	0.6153254843
25	0.6128571682
26	0.6106024971
27	0.6085451066
28	0.6058559582
29	0.6031290691
30	0.5994584867
31	0.5971332788
32	0.5949419985
33	0.5933954452
34	0.5908176043
35	0.5885777238
36	0.5867435636
37	0.5840459919
38	0.5814013517
39	0.5797908139
40	0.5779877268
41	0.5761414097
42	0.5734608675
43	0.5711838157
44	0.5691201692
45	0.5669000246
46	0.5654101868
47	0.5631311139
48	0.561300050449	0.5575003022
50	0.5561447249
551	0.555665170652	0.5523930784
553	0.551393998254	0.5492256406
555	0.5479340685656	0.5458947992
57	0.54376689458	0.5413329315
59	0.5399936403
660	0.538419551261	0.5363738436
62	0.5347217669
63	0.5334489216
64	0.5320539211
65	0.5302211756
66	0.5286860396
67	0.5273514852
68	0.5259818272
69	0.5246111107
70	0.5226102938
71	0.5210806637
72	0.5195241798
73	0.5185442326
74	0.5173473662
75	0.5157258239
76	0.5147127485
77	0.5135171536
78	0.5116528803
79	0.5103092556
80	0.5085796377
81	0.507398009
82	0.5060086445
83	0.5042487598
84	0.5032171992
85	0.5018874133
86	0.5007912754
87	0.4993157789
88	0.497980518
89	0.4964886689
90	0.4955105444
91	0.4946115327
92	0.4929632697
93	0.4919774899
94	0.4909828847
95	0.4901324455
96	0.4891855402
97	0.4878360122
98	0.4868442017
99	0.4858766811
100	0.4846387277
101	0.483574853
102	0.4826653869
103	0.4816805863
104	0.4803150243
105	0.4106	0.4768106	0.4781360172
107	0.4108	0.4746108	0.4109	0.4738922423
110	0.4725821921
111	0.4719197215
112	0.4706650695
113	0.4699605744
114	0.4689206632
115	0.4681756561
116	0.4672942461
117	0.4660201537
118	0.4649775069
119	0.46399946
120	0.4630871598
121	0.462195741
122	0.4614828242
123	0.4607994724
124	0.4594984215
125	0.4587465974
126	0.4580437002
127	0.4570823788
128	0.4561500604
129	0.455572919
130	0.4548283861
131	0.454025693
132	0.4534786875
133	0.4527473081
134	0.4521939944
135	0.4512878236
136	0.4503493409
137	0.449535905
138	0.4490917604
139	0.4480693977
140	0.447354195
141	0.4464693271
142	0.4455208021
143	0.4444571655
144	0.4437733026
145	0.4431341399
146	0.4425659281
147	0.4419689535
148	0.4412812884
149	0.4405184935
150	0.4397717015
151	0.4388988662
152	0.4380757852
153	0.4372080483
154	0.4362520452
155	0.4355308787
156	0.4349978056
157	0.4341681543
158	0.4333707976
159	0.4325670775
160	0.4319104703
161	0.4312876718
162	0.4306357924
163	0.4294661314
164	0.4289257268
165	0.4283549591
166	0.4275986685
167	0.4270905183
168	0.4267230417
169	0.4258322677
170	0.4249463427
171	0.4245334958
172	0.423931172
173	0.4235734078
174	0.422995805
175	0.4220433749
176	0.4212210424
177	0.4207394968
178	0.4200323143
179	0.4194941478
180	0.4188716304
181	0.4184997425
182	0.4179814319
183	0.4174603319
184	0.416925738
185	0.4162816202
186	0.4159112834
187	0.4152555778
188	0.4148356232
189	0.4143247609
190	0.4138223297
191	0.412956919
192	0.4125126383
193	0.4118462597
194	0.411354265
195	0.4106955631
196	0.4101514578
197	0.4095410798
198	0.4089542927
199	0.408489827
200	0.4079219727
201	0.4074576708
202	0.4070588973
203	0.4064998631
204	0.4061532345
205	0.4054862667
206	0.4046164295
207	0.4042118462
208	0.4036366052
209	0.4033058934
210	0.4028173892
211	0.4021699504
212	0.4016691187
213	0.4012737512
214	0.400850617
215	0.4004048803
216	0.3999794326
217	0.3993987146
218	0.3989294956
219	0.3986136576
220	0.3979771283
221	0.3974244655
222	0.3970250884
223	0.3964884407
224	0.3961877639
225	0.3955232409
226	0.3949960704
227	0.394753973
228	0.3944502011
229	0.3939212563
230	0.3933604707
231	0.392922274
232	0.3924270811
233	0.3918845173
234	0.3913671488
235	0.3909426257
236	0.3906709405
237	0.3903141723
238	0.3899201429
239	0.3895024763
240	0.388899279
241	0.3884955027
242	0.3881004128
243	0.3877284351
244	0.3873734659
245	0.386890748
246	0.3864796729
247	0.3859784161
248	0.3853685409
249	0.3847128624
250	0.3843248211
251	0.3837036165
252	0.3831664358
253	0.3828127038
254	0.3825062662
255	0.3819874128
256	0.3817258192
257	0.3812794542
258	0.3807835891
259	0.3802736334
260	0.3798499323
261	0.3793396016
262	0.3790294328
263	0.3787002355
264	0.3783899032
265	0.3780062799
266	0.3776730159
267	0.3773180171
268	0.3769169751
269	0.3763510209
270	0.376008867
271	0.3757197755
272	0.3750883745
273	0.3747182633
274	0.3741263861
275	0.3736630044
276	0.3732737098
277	0.372828455
278	0.3722875011
279	0.3718580895
280	0.3716445089
281	0.3708687169
282	0.3704888319
283	0.370078912
284	0.3698377764
285	0.3694076044
286	0.3690633008
287	0.3684812212
288	0.3680081818
289	0.3675686821
290	0.3671584183
291	0.366794347
292	0.3663166497
293	0.3659038904
294	0.365305669
295	0.3648509727
296	0.364543293
297	0.3642765988
298	0.3639946065
299	0.3637515133
300	0.36331731
301	0.3629576607
302	0.3623733303
303	0.3620236471
304	0.3617775865
305	0.3614720837
306	0.3613040354
307	0.3609058811
308	0.3605091059
309	0.360322645
310	0.3601289262
311	0.3599377333
312	0.359627255
313	0.3594135838
314	0.3590149589
315	0.3586113297
316	0.3583562121
317	0.3579413422
318	0.3577617962
319	0.3576217307
320	0.3572468671
321	0.3570893957
322	0.356647345
323	0.3562582152
324	0.3559337123
325	0.355335497
326	0.3550237479
327	0.3547291698
328	0.3543798023
329	0.3540159024
330	0.3536986652
331	0.3533551542
332	0.3530079619
333	0.3527699421
334	0.3521040047
335	0.351838039
336	0.3513645806
337	0.3509118857
338	0.3506586753
339	0.3505209847
340	0.3501476102
341	0.3496139496
342	0.3494536415
343	0.3490108106
344	0.3486428865
345	0.3484218169
346	0.3480867581
347	0.3479039295
348	0.347566823
349	0.347072255
350	0.3469236229
351	0.34674145
352	0.3463905548
353	0.3460665162
354	0.3459173835
355	0.3454343535
356	0.3449670814
357	0.3448027106
358	0.3446077061
359	0.3444021958
360	0.344060962
361	0.3438110932
362	0.3436890933
363	0.3432826145
364	0.3428895897
365	0.3424251902
366	0.3420170535
367	0.3413855621
368	0.3411253807
369	0.3408109201
370	0.3406892936
371	0.3405207329
372	0.3403280903
373	0.3399625091
374	0.3396407454
375	0.3394189136
376	0.3391826576
377	0.3385654832
378	0.3384070637
379	0.3381476955
380	0.3377282564
381	0.3373731005
382	0.3368014622
383	0.3364780885
384	0.3361648118
385	0.3359932204
386	0.3356976059
387	0.3354949731
388	0.3350275452
389	0.3347317893
390	0.3345414283
391	0.3341859168
392	0.3339608462
393	0.3336316726
394	0.333398082
395	0.3331461865
396	0.3329679235
397	0.3326120242
398	0.3321747871
399	0.3318325686
400	0.3314003345
401	0.331206991
402	0.3307988279
403	0.3304400509
404	0.3302889143
405	0.3298587057
406	0.329471766
407	0.3293162447
408	0.3290764617
409	0.3286600812
410	0.3283996507
411	0.3282184892
412	0.3277369653
413	0.3274570573
414	0.3270596249
415	0.3269360556
416	0.3266748762
417	0.3263305426
418	0.3260237765
419	0.3255530206
420	0.3252955838
421	0.3252450885
422	0.3250540167
423	0.3247805989
424	0.3245331388
425	0.3241272743
426	0.3239228685
427	0.3236820571
428	0.3234540043
429	0.3231240638
430	0.3228542004
431	0.3226220621
432	0.3223166869
433	0.3220729409
434	0.3218682421
435	0.3217979815
436	0.321673274
437	0.3213677413
438	0.3210285614
439	0.3207943418
440	0.3205154656
441	0.3202781403
442	0.3201495339
443	0.3199009876
444	0.319551494
445	0.3192560343
446	0.3190480147
447	0.3185150774
448	0.3182972183
449	0.317901148
450	0.3177190091
451	0.3172021553
452	0.3169079144
453	0.3166844101
454	0.316193384
455	0.3157578586
456	0.3155688572
457	0.3153812304
458	0.3151147639
459	0.3147518363
460	0.3143361118
461	0.3139376686
462	0.3138384111
463	0.3137134494
464	0.313528469
465	0.3134729854
466	0.3131580601
467	0.3129403038
468	0.3127051665
469	0.3123450745
470	0.3120100969
471	0.3115952789
472	0.3113028043
473	0.3109619792
474	0.3106623485
475	0.310211757
476	0.3099332441
477	0.3097085584
478	0.3093424743
479	0.3090542108
480	0.3086473554
481	0.308500135
482	0.3081911598
483	0.3080140186
484	0.3076537631
485	0.3073744047
486	0.3071210855
487	0.3068313714
488	0.3067305692
489	0.3065258935
490	0.3064078637
491	0.3061357361
492	0.3057339559
493	0.3054750895
494	0.3051001606
495	0.3049386701
496	0.3048167343
497	0.3046113898
498	0.3044021681
499	0.3042534979
500	0.3038230866
501	0.3036758449
502	0.3033981477
503	0.3030025879
504	0.3027860622
505	0.3026542094
506	0.3022892178
507	0.3020919202
508	0.3018376348
509	0.3014896816
