iter	Passed	Remaining
0	5	5722
1	8	4420
2	11	3892
3	14	3625
4	17	3472
5	20	3318
66	45	6426
7	54	6808
8	65	7260
9	9	85	8432
10	90	8141111	110	9012	12	126	9613
13	132	9303
14	136	8976
15	140	16	1316	146	1717	146	7981818	154	7991919	19	169	2020	20	177	21	1721	189	8425
22	199	23	2023	208	24	210	8199
25	220	8256
26	227	8199
27	236	8216
28	243	8142
29	251	8145
30	258	8084
31	264	8003
32	277	8123
33	287	8166
34	302	8328
35	312	8362
36	322	8395
37	326	8270
38	333	8215
39	341	8200
40	344	8052
41	350	7983
42	356	7933
43	361	7851
44	368	7811
45	378	7844
46	383	7768
47	389	7715
48	394	7647
49	3949	403	50	4050	410	51	415	7565
52	4252	428	53	431	7555
54	4354	441	55	444	7494
56	452	7491
57	456	7406
58	4658	471	59	4759	479	60	481	7408
61	4861	495	62	4962	507	63	5063	522	7637
64	529	7620
65	544	7703
66	552	7696
67	561	7690
68	565	7636
69	580	7713
70	588	7702
71	592	7636
72	603	7663
73	611	7648
74	627	7744
75	639	7769
76	651	7812
77	659	7800
78	671	7827
79	679	7815
80	692	7858
81	704	7886
82	712	7867
83	729	7956
84	737	7938
85	749	7969
86	752	7897
87	761	7887
88	764	7821
89	772	7809
90	777	7767
91	782	7725
92	793	7736
93	796	7679
94	800	7627
95	813	7659
96	815	7593
97	823	7577
98	830	7562
99	840	7561
100	848	7550
101	854	7521
102	866	7543
103	872	7520
104	875	7461
105	881	7435
106	894	7462
107	900	7439
108	912	7455
109	916	7417
110	922	7390
111	926	7345
112	930	7304
113	946	7352
114	954	7342
11116	982	741116	974	7352
117	986	7375
118	989	7326
119120	1022	7425
121	1030	7418
122	1033	7369
123	1039	7123	124	1048	7124	125	1056	7125	126	1069	7126	127	1087	7407
128	1100	7427
129	1105	7398
130	1111	7371
131	1116	7338
132	1122	7316
133	1128127	12134	1131128	1276	8617
129	1285	8602
130	1298	8613
131	1307	8596
132	1348	8793
133	1368	8846
134	1373	8803
135	1377	8750
136	1386	8733
13143	1233	73313144	1246	7351
145	1256	73414146	1264	733141	1440	8701
14148	1288	735143	1452	8636
14150	1301	73114151	1309	73014152	1318	72914153	1324	72714154	1327	72314155	1332	72015156	1340	71915157	1344	71615158	1349	71315159	1362	71515160	1370	7141
161	1374	71015162	1380	70815163	1387	70715164	1398	70715165	1405	706160	1572	8196
161	1578	8163
162	1589	8163
163	1592	8118
164	1599	8093
165	1609	8086
166	1614	8055
167	1622	8036
168	1626	7999
169	1632	7969
170	1635	7930
171	1644	7914
172	1647	7877
173	1655	7856
174	1663	7840
175	1671	7827
176	1681	7819
177	1685	7785
178	1694	7771
179	1700	7744
180	1705	7716
181	1712	7698
182	1715	7659
183	1725	7653
184	1731	7628
185	1739	7612
186	1749	7605
187	1757	7588
188	1768	7587
189	1780	7589
190	1788	7574
191	1798	7566
192	1803	7542
193	1812	7531
194	1819	7510
195	1829	7503
196	1838	7492
197	1846	7477
198	1853	7458
199	1859	7438
200	1867	7424
201	1877	7418
202	1884	7397
203	1894	7393
204	1900	7369
205	1908	7357
206	1911	7321
207	1918	7306
208	1925	7286
209	1932	7269
210	1938	7247
211	1942	7221
212	1947	7195
213	1958	7194
214	1962	7165
215	1969	7148
216	1979	7141
217	1989	7137
218	1997	7123
219	2004	7107
220	2011	7089
221	2019	7077
222	2025	7059
223	2031	7036
224	2035	7011
225	2042	6994
226	2053	6993
227	2061	6980
228	2069	6966
229	2075	6949
230	2084	6940
231	2097	6943
232	2105	6930
233	2111	6913
234	2119	6900
235	2125	6880
236	2130	6858
237	2134	6833
238	2140	6816
239	2147	6799
240	2150	6772
241	2155	6751
242	2163	6740
243	2170	6723
244	2174	6700
245	2182	6688
246	2191	6679
247	2198	6666
248	2206	6655
249	2213	6641
250	2219	6623
251	2228	6614
252	2231	6589
253	2242	6585
254	2248	6568
255	2261	6571
256	2269	6560
257	2282	6562
258	2286	6542
259	2294	6530
260	2299	6510
261	2306	6497
262	2315	6489
263	2319	6467
264	2327	6455
265	2334	6441
266	2340	6424
267	2348	6414
268	2358	6409
269	2366	6398
270	2379	6400
271	2400	6425
272	2416	6436
273	2426	6428
274	2432	6411
275	2435	6387
276	2440	6371
277	2443	6346
278	2449	6329
279	2452	6305
280	2458	6290
281	2467	6283
282	2474	6268
283	2478	6248
284	2483	6230
285	2493	6224
286	2499	6208
287	2506	6196
288	2512	6182
289	2517	6162
290	2522	6145
291	2527	6127
292	2532	6110
293	2537	6094
294	2543	6078
295	2548	6061
296	2554	6047
297	2562	6036
298	2568	6020
299	2575	6009
300	2579	5991
301	2586	5979
302	2597	5975
303	2607	5970
304	2616	5962
305	2626	5955
306	2630	5937
307	2638	5928
308	2645	5915
309	2651	5902
310	2655	5883
311	2662	5871
312	2670	5862
313	2676	5848
314	2681	5830
315	2684	5811
316	2689	5794
317	2697	5784
318	2703	5771
319	2711	5761
320	2720	5753
321	2727	5742
322	2731	5726
323	2740	5718
324	2748	5708
325	2756	5699
326	2763	5687
327	2767	5670
328	2777	5664
329	2785	5655
330	2790	5639
331	2799	5633
332	2807	5624
333	2814	5611
334	2820	5599
335	2826	5586
336	2832	5572
337	2841	5565
338	2847	5551
339	2853	5538
340	2858	5524
341	2868	5517
342	2878	5513
343	2888	5507
344	2895	5497
345	2903	5487
346	2908	5473
347	2914	5460
348	2920	5447
349	2927	5436
350	2934	5426
351	2944	5420
352	2951	5410
353	2957	5397
354	2965	5387
355	2973	5379
356	2983	5373
357	2990	5362
358	2996	5349
359	3003	5339
360	3010	5329
361	3016	5316
362	3026	5311
363	3030	5294
364	3038	5286
365	3043	5272
366	3046	5255
367	3054	5245
368	3058	5230
369	3067	5223
370	3071	5207
371	3075	5191
372	3078	5174
373	3083	5160
374	3088	5147
375	3093	5134
376	3101	5124
377	3107	5112
378	3109	5094
379	3114	5080
380	3120	5069
381	3123	5052
382	3129	5042
383	3134	5027
384	3139	5014
385	3142	4998
386	3147	4985
387	3153	4973
388	3160	4963
389	3168	4955
390	3178	4950
391	3187	4943
392	3191	4928
393	3195	4914
394	3201	4902
395	3212	4899
396	3225	4899
